#Position,fname,lname,Skin,Face,Photo,Photo Texture,Face Model Texture
,,,,,,,
Team = 49ers    Players:53,,,,,,,
CB,Ahmed,Plummer,Skin3,Face1,2569,DD88C9D9,0x1B010224
CB,Mike,Rumph,Skin4,Face3,3694,93F734E3,0x31A713E4
CB,Shawntae,Spencer,Skin12,Face1,6731,(no photo),0x5D14BD9C
CB,Jimmy,Williams,Skin5,Face11,3234,1DD17DA4,0x315951BF
CB,Rashad,Holman,Skin5,Face13,3103,3AC1766F,0xCF53B2D9
DE,John,Engelberger,Skin17,Face13,2601,5C9DC6E8,0x159B72BA
DE,Andre,Carter,Skin4,Face10,3034,DE827C38,0xB007AEF6
DE,Andrew,Williams,Skin14,Face15,5294,CEC22FD6,0xE027D00A
DE,Brandon,Whiting,Skin10,Face15,1289,FAC170ED,0xAEE91258
DT,Anthony,Adams,Skin13,Face15,5015,3C043D3D,0x0FBA933D
DT,Bryant,Young,Skin21,Face12,1527,425DCFDA,0x22B9485D
DT,Josh,Shaw,Skin22,Face13,3700,EAEE6B75,0x42A8D1EC
DT,Isaac,Sopoaga,Skin3,Face14,6603,(no photo),0xB219B0B3
FB,Fred,Beasley,Skin20,Face1,1551,9555E6A2,0x7443316D
FB,Matt,Stanley,Skin1,Face6,4903,0D833F71,0x39799B1C
FB,Terry,Jackson,Skin6,Face5,2056,6461B634,0x42A8D1EC
FS,Ronnie,Heard,Skin5,Face10,3272,3FD3A160,0x630E4046
G,Eric,Heitmann,Skin9,Face14,3601,A5EC3B72,0x39799B1C
G,Justin,Smiley,Skin17,Face10,6594,(no photo),0x7B6B6702
G,Kyle,Kosier,Skin17,Face11,4325,CD34F600,0x83110820
G,Dwayne,Ledford,Skin9,Face10,3357,0B6040A2,0x7B6B6702
RB,Kevan,Barlow,Skin4,Face9,3011,BA60CB40,0x60A21F9F
RB,Jamal,Robertson,Skin11,Face5,4189,FB20B13E,0xE3A1E743
RB,Maurice,Hicks,Skin6,Face14,5009,0D17B36A,0xA5B30581
ILB,Derek,Smith,Skin1,Face4,1766,6D88D6E2,0x9C54E4FB
ILB,Richard,Seigler,Skin5,Face4,6587,(no photo),0xB96BFA36
K,Todd,Peterson,Skin17,Face2,1589,2EA3706,0x7B6B6702
OLB,Julian,Peterson,Skin3,Face5,2676,3A117E1A,0xC2852E03
OLB,Jeff,Ulbrich,Skin1,Face3,2690,4DB05DA2,0x83110820
OLB,Saleem,Rasheed,Skin5,Face3,3682,1C931ABF,0x315951BF
OLB,Jamie,Winborn,Skin13,Face2,3239,FC9FABB0,0x630E4046
P,Andy,Lee,Skin1,Face13,6490,(no photo),0x159B72BA
QB,Tim,Rattay,Skin17,Face6,2715,FC40D2AA,0xC12B02E0
QB,Ken,Dorsey,Skin17,Face5,5070,B6E21555,0x159B72BA
QB,Brandon,Doman,Skin17,Face7,3556,6D2F4C39,0x95302A80
QB,Cody,Pickett,Skin1,Face3,6540,(no photo),0x83110820
SS,Tony,Parrish,Skin11,Face5,305,5F0D7677,0xB096C250
SS,Keith,Lewis,Skin13,Face7,6495,(no photo),0x0FBA933D
T,Kwame,Harris,Skin14,Face10,5111,6AA78AD7,0x159B72BA
T,Scott,Gragg,Skin17,Face13,1140,53D0BEE4,0xF61F6504
T,Jerome,Davis,Skin22,Face10,4005,191479C9,0xF61F6504
